Municipalidad,UxP,Juntos,LLA,UCR Evolución,PRO,Partido Socialista,UCR,Justicialismo no UXP,"Unión, Renovación y Fé",LLA Disidente,Vecinalismo,PRO PB,UCR Disidente,GEN,UxP Disidente,FIT,Unión Liberal,PRO Disidente,Unión por Todos,CC ARI,Juntos Disidente,Cambio Federal,SN,MID
Adolfo Alsina,4,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adolfo Gonzales Chaves,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alberti,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Almirante Brown,16,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arrecifes,5,0,0,0,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avellaneda,14,5,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ayacucho,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azul,5,1,3,1,0,0,2,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahía Blanca,8,8,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Balcarce,5,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baradero,9,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benito Juárez,7,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Berazategui,15,6,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berisso,11,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolívar,8,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bragado,7,0,2,0,2,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandsen,6,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campana,6,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cañuelas,9,0,2,0,3,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Capitán Sarmiento,2,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Casares,7,2,1,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0
Carlos Tejedor,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carmen de Areco,6,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Castelli,6,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chacabuco,8,5,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chascomús,4,4,0,0,0,0,4,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
Chivilcoy,4,1,0,0,0,0,1,5,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0
